date,open_price,high_price,low_price,close_price,volume,company
2023-01-31 15:00:00,142.2208,142.6854,141.4794,142.6459,10193341,AAPL
2023-01-31 14:00:00,141.9786,142.3493,141.8847,142.2109,3365289,AAPL
2023-01-31 13:00:00,141.8946,142.0923,141.5189,141.9835,3182900,AAPL
2023-01-31 12:00:00,141.6178,142.0132,141.3410,141.8896,3125410,AAPL
2023-01-31 11:00:00,141.5288,141.9934,141.3509,141.6161,4110011,AAPL
2023-01-31 10:00:00,141.0148,141.7068,140.7775,141.5189,6590933,AAPL
2023-01-30 15:00:00,141.5486,141.8748,141.2125,141.3904,9984039,AAPL
2023-01-30 14:00:00,141.7268,141.9439,141.2431,141.5486,5564402,AAPL
2023-01-30 13:00:00,141.7661,142.1714,141.3707,141.7315,4447140,AAPL
2023-01-30 12:00:00,142.5272,142.6063,141.5090,141.7710,5592074,AAPL
2023-01-30 11:00:00,142.3394,142.6656,141.8550,142.5353,5063451,AAPL
2023-01-30 10:00:00,143.5158,143.6838,141.7265,142.3444,8251474,AAPL
2023-01-27 15:00:00,145.2111,145.5423,144.1287,144.2967,10919332,AAPL
2023-01-27 14:00:00,144.6724,145.3347,144.5735,145.2161,5913433,AAPL
2023-01-27 13:00:00,144.6824,144.8800,144.3165,144.6724,4330645,AAPL
2023-01-27 12:00:00,144.3758,145.2062,144.2473,144.6921,6575314,AAPL
2023-01-27 11:00:00,143.0413,144.5142,142.9523,144.3758,7145607,AAPL
2023-01-27 10:00:00,143.0512,143.8568,142.7249,143.0215,8711535,AAPL
2023-01-26 15:00:00,141.8847,142.3888,141.6079,142.2702,7767486,AAPL
2023-01-26 14:00:00,141.5090,142.1837,141.2916,141.8752,4739121,AAPL
2023-01-26 13:00:00,141.1828,141.7858,140.8566,141.5090,3597528,AAPL
2023-01-26 12:00:00,141.0444,141.6277,140.9555,141.1729,3826509,AAPL
2023-01-26 11:00:00,140.7578,141.2224,140.2734,141.0443,5299139,AAPL
2023-01-26 10:00:00,141.6178,142.3394,140.6293,140.7578,7641108,AAPL
2023-01-25 15:00:00,140.1745,140.7973,139.6555,140.2241,9367426,AAPL
2023-01-25 14:00:00,139.4628,140.3426,139.3450,140.1646,5438535,AAPL
2023-01-25 13:00:00,138.8301,139.7079,138.7993,139.4628,5160906,AAPL
